id_wikidata;city;population;snow1950;snow2000;airports;heliports;ports;sumports;childpoverty;appointment;snowcount1950;snowcount2000;id_rs;id_gdide;image
http://www.wikidata.org/entity/Q64;Berlin;3677472;43 %;33 %;0;13;0;13;26,1;kein Termin frei;9;7;110000000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E110000000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Cityscape%20Berlin.jpg
http://www.wikidata.org/entity/Q1055;Hamburg;1852478;33 %;19 %;1;13;1;15;19,1;heute;7;4;020000000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E020000000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Landungsbr%C3%BCcken%20Hamburg.jpg
http://www.wikidata.org/entity/Q1726;München;1488202;62 %;29 %;0;9;0;9;10,5;morgen;13;6;091620000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E091620000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Stadtbild%20M%C3%BCnchen.jpg
http://www.wikidata.org/entity/Q365;Köln;1083498;19 %;14 %;1;8;0;9;21,5;in 28 Tagen;4;3;053150000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E053150000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Stadtbild%20K%C3%B6ln%20%2850MP%29.jpg
http://www.wikidata.org/entity/Q1794;Frankfurt am Main;764104;33 %;19 %;1;6;0;7;17,7;heute;7;4;064120000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E064120000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Frankfurter%20Altstadt%20mit%20Skyline%202019%20%28100MP%29.jpg
http://www.wikidata.org/entity/Q1718;Düsseldorf;645923;24 %;14 %;1;3;0;4;18,5;kein Termin frei;5;3;051110000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E051110000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%BCsseldorf%20Panorama.jpg
http://www.wikidata.org/entity/Q1022;Stuttgart;630305;29 %;14 %;0;4;0;4;12,7;nicht möglich;6;3;081110000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E081110000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Stuttgart%20Downtown%20Sights%20Collage.png
http://www.wikidata.org/entity/Q2079;Leipzig;608651;48 %;29 %;0;6;0;6;17,7;heute;10;6;147130000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E147130000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Innenstadt%20Leipzig%20mit%20Thomaskirche%20von%20Panorama%20Tower%202013.jpg
http://www.wikidata.org/entity/Q1295;Dortmund;587696;19 %;14 %;1;4;0;5;28,8;heute;4;3;059130000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E059130000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Dortmund%20Panorama.jpg
http://www.wikidata.org/entity/Q2066;Essen;582415;24 %;19 %;0;3;0;3;31,5;in 2 Tagen;5;4;051130000000;https://sgx.geodatenzentrum.de/wfs_vg250?Service=WFS&Version=2.0.0&OUTPUTFORMAT=gml3&Request=GetFeature&TYPENAMES=vg250:vg250_gem&FILTER=%3CFilter%3E%3CPropertyIsEqualTo%3E%3CValueReference%3Ears%3C/ValueReference%3E%3CLiteral%3E051130000000%3C/Literal%3E%3C/PropertyIsEqualTo%3E%3C/Filter%3E;http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20Essen.jpg
